id,text,target
881,To fight bioterrorism sir.,1
898,To fight bioterrorism sir.,0
907,To fight bioterrorism sir.,1
916,To fight bioterrorism sir.,0
1723,Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,1
1752,I Pledge Allegiance To The P.O.P.E. And The Burning Buildings of Epic City. ??????,0
1760,like for the music video I want some real action shit like burning buildings and police chases not some weak ben winston shit,1
1922,Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,0
1950,like for the music video I want some real action shit like burning buildings and police chases not some weak ben winston shit,0
1968,I Pledge Allegiance To The P.O.P.E. And The Burning Buildings of Epic City. ??????,1
4068,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,1
4072,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,1
4076,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,0
4077,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,1
4656,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0
4659,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,1
4669,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,1
4672,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0
4684,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0
4691,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0
5662,"Who is bringing the tornadoes and floods. Who is bringing the climate change. God is after America He is plaguing her
 
#FARRAKHAN #QUOTE",1
5699,"Who is bringing the tornadoes and floods. Who is bringing the climate change. God is after America He is plaguing her
 
#FARRAKHAN #QUOTE",0
5710,"Who is bringing the tornadoes and floods. Who is bringing the climate change. God is after America He is plaguing her
 
#FARRAKHAN #QUOTE",0
5996,#foodscare #offers2go #NestleIndia slips into loss after #Magginoodle #ban unsafe and hazardous for #humanconsumption,1
6012,Caution: breathing may be hazardous to your health.,1
6017,Caution: breathing may be hazardous to your health.,0
6023,#foodscare #offers2go #NestleIndia slips into loss after #Magginoodle #ban unsafe and hazardous for #humanconsumption,1
6031,#foodscare #offers2go #NestleIndia slips into loss after #Magginoodle #ban unsafe and hazardous for #humanconsumption,0
6087,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0
6088,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,0
6090,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0
6094,#Allah describes piling up #wealth thinking it would last #forever as the description of the people of #Hellfire in Surah Humaza. #Reflect,0
6097,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',1
6105,#Allah describes piling up #wealth thinking it would last #forever as the description of the people of #Hellfire in Surah Humaza. #Reflect,0
6111,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0
6112,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,1
6113,Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do anything that leads to it #islam!,0
6118,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0
6123,#Allah describes piling up #wealth thinking it would last #forever as the description of the people of #Hellfire in Surah Humaza. #Reflect,1
6125,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,0
6132,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',1
6134,Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do anything that leads to it #islam!,1
6220,RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t.co/JlzK2HdeTG,0
6223,RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t.co/JlzK2HdeTG,1
6537,CLEARED:incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,1
6548,CLEARED:incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,1
6566,CLEARED:incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,0
8018,wowo--=== 12000 Nigerian refugees repatriated from Cameroon,1
8044,wowo--=== 12000 Nigerian refugees repatriated from Cameroon,0
8698,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,1
8702,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,0
8714,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,0
8739,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,1
9470,In #islam saving a person is equal in reward to saving all humans! Islam is the opposite of terrorism!,0
9472,In #islam saving a person is equal in reward to saving all humans! Islam is the opposite of terrorism!,1
